Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop
China,"80,894",13,"3,237",11,"69,614","8,043","2,622",56
Italy,"31,506",,"2,503",,"2,941","26,062","2,060",521
Iran,"16,169",,988,,"5,389","9,792",,193
Spain,"11,826",,533,,"1,028","10,265",563,253
Germany,"9,367",,26,,67,"9,274",2,112
S. Korea,"8,413",93,84,3,"1,540","6,789",59,164
France,"7,730",,175,,602,"6,953",699,118
USA,"6,509",98,115,6,106,"6,288",12,20
Switzerland,"2,742",,27,,15,"2,700",,317
UK,"1,950",,71,,65,"1,814",20,29
Netherlands,"1,705",,43,,2,"1,660",45,100
Norway,"1,471",,3,,1,"1,467",27,271
Austria,"1,332",,4,,9,"1,319",12,148
Belgium,"1,243",,10,,14,"1,219",33,107
Sweden,"1,196",,8,,1,"1,187",12,118
Denmark,977,,4,,1,972,18,169
Japan,882,4,29,,144,709,41,7
Diamond Princess,712,,7,,456,249,14,
Malaysia,673,,2,,49,622,10,21
Canada,598,,8,,12,578,1,16
Australia,539,84,6,1,27,506,1,21
Portugal,448,,1,,3,444,18,44
Qatar,442,,,,4,438,,153
Czechia,434,,,,3,431,2,41
Greece,387,,5,,14,368,11,37
Brazil,346,,1,,2,343,18,2
Israel,337,,,,11,326,5,39
Finland,322,,,,10,312,2,58
Ireland,292,,2,,5,285,6,59
Slovenia,275,,1,,,274,4,132
Singapore,266,,,,114,152,14,45
Iceland,247,,,,5,242,1,724
Pakistan,247,,,,2,245,,1
Bahrain,241,,1,,88,152,3,142
Poland,238,,5,,1,232,3,6
Estonia,225,,,,1,224,,170
Romania,217,,,,19,198,5,11
Chile,201,,,,,201,3,11
Egypt,196,,6,,26,164,,2
Philippines,187,,14,,4,169,1,2
Thailand,177,,1,,41,135,1,3
Indonesia,172,,7,,9,156,,0.6
Saudi Arabia,171,,,,6,165,,5
Hong Kong,168,,4,,81,83,4,22
Iraq,154,,11,,41,102,,4
India,147,4,3,,14,130,,0.1
Luxembourg,140,,1,,,139,1,224
Kuwait,130,,,,12,118,4,30
Lebanon,124,,4,,4,116,3,18
San Marino,119,,11,,4,104,11,"3,507"
Peru,117,,,,1,116,8,4
Russia,114,,,,8,106,,0.8
UAE,113,,,,26,87,2,11
Ecuador,111,,2,,,109,2,6
Turkey,98,,1,,,97,,1
Slovakia,97,,,,,97,2,18
South Africa,85,,,,,85,,1
Mexico,82,,,,4,78,1,0.6
Bulgaria,81,,2,,,79,,12
Argentina,79,,2,,3,74,1,2
Armenia,78,,,,1,77,2,26
Taiwan,77,,1,,20,56,,3
Serbia,72,,,,1,71,4,8
Panama,69,,1,,,68,7,16
Croatia,69,,,,5,64,,17
Vietnam,66,,,,16,50,,0.7
Colombia,65,,,,1,64,,1
Algeria,61,,5,,10,46,,1
Latvia,60,,,,1,59,,32
Brunei,56,,,,,56,1,128
Albania,55,,1,,,54,2,19
Hungary,50,,1,,2,47,,5
Costa Rica,50,,,,,50,3,10
Uruguay,50,,,,,50,,14
Cyprus,49,,,,,49,1,41
Jordan,48,,,,1,47,,5
Faeroe Islands,47,,,,,47,,962
Morocco,44,,2,,1,41,1,1
Sri Lanka,44,,,,1,43,,2
Palestine,44,,,,,44,,9
Andorra,39,,,,1,38,,505
Malta,38,,,,2,36,,86
Belarus,36,,,,3,33,,4
Azerbaijan,34,,1,,6,27,,3
Georgia,34,,,,1,33,1,9
Bosnia and Herzegovina,34,,,,2,32,,10
Cambodia,33,,,,1,32,,2
Oman,33,,,,12,21,,6
Kazakhstan,33,,,,,33,,2
Venezuela,33,,,,,33,,1
North Macedonia,31,,,,1,30,1,15
Moldova,30,,,,1,29,1,7
Senegal,27,,,,2,25,,2
Lithuania,26,,,,1,25,1,10
Tunisia,25,,,,1,24,2,2
Afghanistan,22,,,,1,21,,0.6
Dominican Republic,21,,1,,,20,,2
New Zealand,20,,,,,20,,4
Liechtenstein,19,,,,,19,,498
Guadeloupe,18,,,,,18,,45
Martinique,15,,1,,,14,,40
Burkina Faso,15,,,,,15,,0.7
Ukraine,14,,2,,,12,,0.3
Macao,13,,,,10,3,,20
Jamaica,13,,,,2,11,,4
Maldives,13,,,,,13,,24
Bolivia,12,,,,,12,,1
French Guiana,11,,,,,11,,37
Uzbekistan,11,,,,,11,,0.3
Bangladesh,10,,,,3,7,,0.06
Cameroon,10,,,,,10,,0.4
Monaco,9,,,,,9,,229
Paraguay,9,,,,,9,1,1
Réunion,9,,,,,9,,10
Guatemala,8,,1,,,7,,0.4
Honduras,8,,,,,8,,0.8
Guyana,7,,1,,,6,,9
Cuba,7,,,,,7,,0.6
Ghana,7,,,,,7,,0.2
Rwanda,7,,,,,7,,0.5
Channel Islands,6,,,,,6,,35
Ethiopia,6,,,,,6,,0.05
Guam,5,,,,,5,,30
Mongolia,5,,,,,5,,2
Puerto Rico,5,,,,,5,,2
Trinidad and Tobago,5,,,,,5,,4
Ivory Coast,4,,,,,4,,0.2
Kenya,4,,,,,4,,0.07
Seychelles,4,,,,,4,,41
Nigeria,3,,,,1,2,,0.01
Aruba,3,,,,,3,,28
Curaçao,3,,,,,3,,18
DRC,3,,,,,3,,0.03
French Polynesia,3,,,,,3,,11
Gibraltar,3,,,,2,1,,89
Mayotte,3,,,,,3,,11
St. Barth,3,,,,,3,,304
Barbados,2,,,,,2,,7
Liberia,2,,,,,2,,0.4
Montenegro,2,,,,,2,,3
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,11
Saint Martin,2,,,,,2,,52
U.S. Virgin Islands,2,,,,,2,,19
Cayman Islands,1,,1,,,0,,15
Sudan,1,,1,,,0,,0.02
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Bahamas,1,,,,,1,,3
Benin,1,,,,,1,,0.08
Bhutan,1,,,,,1,,1
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gabon,1,,,,,1,,0.4
Gambia,1,,,,,1,,0.4
Greenland,1,,,,,1,,18
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,"1,248"
Mauritania,1,,,,,1,,0.2
St. Vincent Grenadines,1,,,,,1,,9
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2
Eswatini,1,,,,,1,,0.9
Tanzania,1,,,,,1,,0.02
Togo,1,,,,,1,,0.1